hand,ai_winnings
0,2
1,2
2,-4
3,2
4,-4
5,-4
6,1
7,16
8,-2
9,2
10,1
11,1
12,-4
13,-12
14,-66
15,-100
16,10
17,-17
18,-88
19,1
20,-46
21,8
22,-16
23,1
24,1
25,1
26,-100
27,1
28,1
29,-100
30,6
31,-32
32,1
33,32
34,-16
35,0
36,32
37,1
38,-4
39,-100
40,1
41,-30
42,1
43,1
44,-4
45,40
46,16
47,16
48,2
49,-16
50,-85
51,1
52,-56
53,40
54,-80
55,1
56,16
57,0
58,-20
59,32
60,2
61,-100
62,-23
63,1
64,-8
65,8
66,-16
67,-100
68,32
69,-16
70,-100
71,0
72,32
73,1
74,16
75,-100
76,1
77,-50
78,-100
79,-16
80,4
81,-6
82,67
83,1
84,1
85,-16
86,16
87,1
88,1
89,-16
90,32
91,1
92,1
93,1
94,32
95,-100
96,8
97,-16
98,-100
99,-100
